,Date,Close,Volume,Open,High,Low
17,2017-02-27,22900.0,652055,22700.0,22700.0,23000.0
18,2017-02-24,22700.0,2041146,22600.0,22700.0,23600.0
19,2017-02-23,22600.0,599354,22600.0,22600.0,22600.0
20,2017-02-22,22600.0,890701,22700.0,22700.0,22700.0
21,2017-02-21,22700.0,992334,22700.0,22700.0,22900.0
2,2017-02-20,22700.0,1208009,22700.0,22700.0,23100.0
3,2017-02-17,22700.0,886909,22700.0,22500.0,23000.0
4,2017-02-16,22700.0,1657991,23300.0,23400.0,23500.0
5,2017-02-15,23300.0,1719050,23500.0,23500.0,23700.0
6,2017-02-14,23500.0,630201,23500.0,23500.0,23600.0
7,2017-02-13,23500.0,1102014,23900.0,24100.0,24100.0
8,2017-02-10,23900.0,2354611,23700.0,23700.0,24100.0
9,2017-02-09,23700.0,480866,23700.0,23700.0,23700.0
10,2017-02-08,23700.0,627023,23700.0,23700.0,23900.0
11,2017-02-07,23700.0,820988,23600.0,23800.0,24200.0
12,2017-02-06,23600.0,1767267,24200.0,24200.0,24300.0
13,2017-02-03,24200.0,1124649,23800.0,23800.0,24500.0
14,2017-02-02,23800.0,693910,23600.0,23600.0,23900.0
15,2017-01-25,23600.0,437171,23500.0,23400.0,23600.0
16,2017-01-24,23500.0,722901,22900.0,22900.0,23800.0
17,2017-01-23,22900.0,867359,23100.0,23100.0,23100.0
18,2017-01-20,23100.0,614473,23000.0,23000.0,23700.0
19,2017-01-19,23000.0,542576,23100.0,23100.0,23400.0
20,2017-01-18,23100.0,1360520,23000.0,23000.0,23700.0
21,2017-01-17,23000.0,1398174,21800.0,22000.0,23300.0
2,2017-01-16,21800.0,575469,21500.0,21500.0,21800.0
3,2017-01-13,21500.0,1230784,21600.0,21400.0,22000.0
4,2017-01-12,21600.0,1158392,21600.0,21500.0,22200.0
5,2017-01-11,21600.0,1447461,21000.0,20800.0,21800.0
6,2017-01-10,21000.0,942499,20800.0,20800.0,21100.0
7,2017-01-09,20800.0,970791,20100.0,20100.0,20900.0
8,2017-01-06,20100.0,1409824,19100.0,19100.0,20900.0
9,2017-01-05,19100.0,471881,19100.0,19200.0,19300.0
10,2017-01-04,19100.0,739000,19000.0,19000.0,19500.0
11,2017-01-03,19000.0,1609757,17600.0,17700.0,19000.0
12,2016-12-30,17600.0,132554,17600.0,17700.0,17800.0
13,2016-12-29,17600.0,398898,17500.0,17400.0,17800.0
14,2016-12-28,17500.0,220675,17400.0,17600.0,17600.0
15,2016-12-27,17400.0,320223,17800.0,17500.0,17800.0
16,2016-12-26,17800.0,142239,17300.0,17400.0,17800.0
17,2016-12-23,17300.0,390028,17800.0,17500.0,17800.0
18,2016-12-22,17800.0,430272,17900.0,17900.0,18000.0
19,2016-12-21,17900.0,939567,17000.0,17100.0,18200.0
20,2016-12-20,17000.0,273119,17000.0,17100.0,17100.0
21,2016-12-19,17000.0,232663,17200.0,17400.0,17400.0
2,2016-12-16,17200.0,112809,16700.0,17000.0,17200.0
3,2016-12-15,16700.0,141933,16600.0,17000.0,17000.0
4,2016-12-14,16600.0,93783,16600.0,16800.0,17000.0
5,2016-12-13,16600.0,125191,17000.0,17000.0,17000.0
6,2016-12-12,17000.0,30478,17100.0,17100.0,17100.0
7,2016-12-09,17100.0,103048,16800.0,16900.0,17200.0
8,2016-12-08,16800.0,220042,16800.0,17200.0,17200.0
9,2016-12-07,16800.0,226091,17100.0,17100.0,17100.0
10,2016-12-06,17100.0,239780,17500.0,17700.0,17800.0
11,2016-12-05,17500.0,49063,17700.0,17800.0,17800.0
12,2016-12-02,17700.0,71031,18000.0,18000.0,18000.0
13,2016-12-01,18000.0,381829,17400.0,17600.0,18100.0
14,2016-11-30,19100.0,151350,19100.0,19000.0,19200.0
15,2016-11-29,19100.0,234984,19100.0,19000.0,19100.0
16,2016-11-28,19100.0,110554,19400.0,19400.0,19500.0
17,2016-11-25,19400.0,179786,19400.0,19100.0,19400.0
18,2016-11-24,19400.0,154688,19300.0,19300.0,19400.0
19,2016-11-23,19300.0,184640,19100.0,19100.0,19300.0
20,2016-11-22,19100.0,289066,19000.0,19100.0,19100.0
21,2016-11-21,19000.0,45941,18900.0,19100.0,19200.0
2,2016-11-18,18900.0,232504,19000.0,19000.0,19000.0
3,2016-11-17,19000.0,216720,18900.0,19000.0,19100.0
4,2016-11-16,18900.0,165430,19100.0,19100.0,19100.0
5,2016-11-15,19100.0,147050,19000.0,19200.0,19200.0
6,2016-11-14,19000.0,189722,19100.0,19100.0,19100.0
7,2016-11-11,19100.0,180044,19100.0,19100.0,19200.0
8,2016-11-10,19100.0,149865,18700.0,18700.0,19200.0
9,2016-11-09,18700.0,510554,19000.0,19000.0,19000.0
10,2016-11-08,19000.0,240477,19100.0,19100.0,19100.0
11,2016-11-07,19100.0,140965,19000.0,19000.0,19100.0
12,2016-11-04,19000.0,51973,19000.0,19000.0,19000.0
13,2016-11-03,19000.0,263536,19100.0,19100.0,19100.0
14,2016-11-02,19100.0,74747,19200.0,19100.0,19200.0
15,2016-11-01,19200.0,246218,19000.0,19000.0,19300.0
16,2016-10-31,19000.0,200973,19400.0,19300.0,19400.0
17,2016-10-28,19400.0,109185,19200.0,19100.0,19400.0
18,2016-10-27,19200.0,184931,19100.0,19100.0,19200.0
19,2016-10-26,19100.0,123409,19200.0,19200.0,19200.0
20,2016-10-25,19200.0,228430,19000.0,19000.0,19200.0
21,2016-10-24,19000.0,435877,19400.0,19300.0,19400.0
2,2016-10-21,19400.0,115481,19500.0,19500.0,19500.0
3,2016-10-20,19500.0,176834,19600.0,19600.0,19700.0
4,2016-10-19,19600.0,894546,19200.0,19200.0,19800.0
5,2016-10-18,19200.0,383550,19100.0,19100.0,19200.0
6,2016-10-17,19100.0,379894,19300.0,19200.0,19200.0
7,2016-10-14,19300.0,399942,19400.0,19400.0,19500.0
8,2016-10-13,19400.0,297562,19300.0,19200.0,19500.0
9,2016-10-12,19300.0,742105,19000.0,19100.0,19800.0
10,2016-10-11,19000.0,325562,19000.0,19000.0,19300.0
11,2016-10-10,19000.0,595489,19000.0,19000.0,19300.0
12,2016-10-07,19000.0,474856,19500.0,19300.0,19400.0
13,2016-10-06,19500.0,445683,19500.0,19600.0,19600.0
14,2016-10-05,19500.0,650032,19100.0,19100.0,19700.0
15,2016-10-04,19100.0,728172,18600.0,18600.0,19400.0
16,2016-10-03,18600.0,584999,18300.0,18400.0,19300.0
17,2016-09-30,18300.0,281903,18300.0,18300.0,18400.0
18,2016-09-29,18300.0,413417,18200.0,18300.0,18400.0
19,2016-09-28,18200.0,960835,17300.0,17200.0,18200.0
20,2016-09-27,17300.0,112486,17200.0,17100.0,17400.0
21,2016-09-26,17200.0,55181,17400.0,17400.0,17400.0
2,2016-09-23,17400.0,54315,17300.0,17200.0,17400.0
3,2016-09-22,17300.0,52251,17400.0,17500.0,17500.0
4,2016-09-21,17400.0,181530,17100.0,17100.0,17700.0
5,2016-09-20,17100.0,117888,17100.0,17100.0,17300.0
6,2016-09-19,17100.0,39590,17300.0,17200.0,17300.0
7,2016-09-16,17300.0,120039,17300.0,17100.0,17300.0
8,2016-09-15,17300.0,160591,17400.0,17300.0,17400.0
9,2016-09-14,17400.0,151529,17500.0,17500.0,17500.0
10,2016-09-13,17500.0,76695,17600.0,17500.0,17600.0
11,2016-09-12,17600.0,137291,17700.0,17600.0,17600.0
12,2016-09-09,17700.0,9453,17800.0,17300.0,17800.0
13,2016-09-08,17800.0,38923,17800.0,17700.0,17800.0
14,2016-09-07,17800.0,37441,17900.0,17800.0,17900.0
15,2016-09-06,17900.0,100607,17800.0,17800.0,17900.0
16,2016-09-05,17800.0,78738,17900.0,17800.0,17800.0
17,2016-09-01,17900.0,81398,18000.0,18000.0,18000.0
18,2016-08-31,18000.0,192835,17800.0,17900.0,18000.0
19,2016-08-30,17800.0,55861,17800.0,17800.0,17800.0
20,2016-08-29,17800.0,133815,17900.0,17900.0,17900.0
