,Date,Close,Volume,Value,Open,High,Low
163,2019-08-29,7000.0,640940,4244869400,6300.0,7100.0,6000.0
164,2019-08-28,6300.0,284043,1759624000,6000.0,6300.0,5700.0
165,2019-08-27,5800.0,656680,3611076000,5600.0,5800.0,5200.0
166,2019-08-26,5600.0,725045,3663213000,5600.0,5600.0,4500.0
167,2019-08-23,5000.0,360400,1769178000,4500.0,5000.0,4500.0
168,2019-08-22,4600.0,310830,1369592000,4500.0,4700.0,4300.0
169,2019-08-21,4400.0,275408,1160964000,4000.0,4500.0,4000.0
170,2019-08-20,3900.0,205263,811860700,3700.0,4100.0,3700.0
171,2019-08-19,3700.0,20020,71790000,3500.0,3800.0,3500.0
172,2019-08-16,3700.0,87300,328700000,3700.0,4000.0,3600.0
173,2019-08-15,3600.0,73860,257266300,3400.0,3800.0,3300.0
174,2019-08-14,3600.0,81000,287940000,3700.0,3700.0,3400.0
175,2019-08-13,3600.0,247700,912970000,3900.0,4000.0,3500.0
176,2019-08-12,3900.0,238560,954205000,3700.0,4200.0,3700.0
177,2019-08-09,3700.0,222568,821090600,3300.0,3700.0,3300.0
178,2019-08-08,3300.0,276740,902512000,3000.0,3300.0,2900.0
179,2019-08-07,2900.0,73700,212410000,3000.0,3000.0,2800.0
180,2019-08-06,3000.0,105070,326473000,3100.0,3200.0,3000.0
181,2019-08-05,3200.0,173950,558967000,3000.0,3300.0,3000.0
182,2019-08-02,3000.0,220740,644676000,2900.0,3000.0,2700.0
183,2019-08-01,3000.0,88730,253030000,2900.0,3000.0,2700.0
184,2019-07-31,2900.0,93310,261811000,2700.0,3000.0,2600.0
185,2019-07-30,2700.0,222220,613647000,2900.0,3000.0,2600.0
186,2019-07-29,2900.0,222360,660270000,3000.0,3100.0,2900.0
187,2019-07-26,3300.0,173840,575542000,3600.0,3600.0,3000.0
188,2019-07-25,3300.0,73010,239189000,3000.0,3300.0,3000.0
189,2019-07-24,3000.0,340078,999166200,2900.0,3200.0,2900.0
190,2019-07-23,3300.0,383150,1292249000,3700.0,3700.0,3300.0
191,2019-07-22,3900.0,234830,893947000,3800.0,4300.0,3500.0
192,2019-07-19,4000.0,434900,1802700000,4800.0,4800.0,4000.0
193,2019-07-18,4600.0,159560,756047000,4800.0,5000.0,4500.0
194,2019-07-17,4700.0,199560,943036000,4800.0,5000.0,4500.0
195,2019-07-16,4800.0,372030,1780034000,4800.0,4800.0,4500.0
196,2019-07-15,4300.0,230441,973884300,3900.0,4300.0,3900.0
197,2019-07-12,4100.0,355540,1354675000,3600.0,4200.0,3600.0
198,2019-07-11,3800.0,271950,1064790000,4000.0,4200.0,3800.0
199,2019-07-10,3900.0,535128,2046990200,3800.0,3900.0,3500.0
200,2019-07-09,3400.0,463110,1554793000,3000.0,3400.0,3000.0
201,2019-07-08,3100.0,68700,205990000,3100.0,3100.0,2900.0
202,2019-07-05,3000.0,60400,181370000,3000.0,3100.0,3000.0
203,2019-07-04,3000.0,62800,185870000,3000.0,3100.0,2900.0
204,2019-07-03,3000.0,32700,98110000,3100.0,3100.0,2900.0
205,2019-07-02,3000.0,139800,429630000,3000.0,3200.0,3000.0
206,2019-07-01,3000.0,129615,378726500,2800.0,3100.0,2800.0
207,2019-06-28,2800.0,81700,227480000,2800.0,2900.0,2700.0
208,2019-06-27,2800.0,69822,202607000,3000.0,3100.0,2800.0
209,2019-06-26,3100.0,58620,179891000,3100.0,3100.0,3000.0
210,2019-06-25,3000.0,96500,284950000,2800.0,3100.0,2800.0
211,2019-06-24,2800.0,57600,159860000,2800.0,2800.0,2700.0
212,2019-06-21,2900.0,81832,230259600,2900.0,2900.0,2700.0
213,2019-06-20,3000.0,87800,260270000,3000.0,3000.0,2900.0
214,2019-06-19,3000.0,177050,531920000,2900.0,3100.0,2900.0
215,2019-06-18,2800.0,57510,156512000,2600.0,2800.0,2600.0
216,2019-06-17,2500.0,61301,152562500,2500.0,2600.0,2400.0
217,2019-06-14,2600.0,89620,235944000,2700.0,2700.0,2600.0
218,2019-06-13,2700.0,50200,135590000,2700.0,2800.0,2700.0
219,2019-06-12,2700.0,73522,200689400,2800.0,2800.0,2700.0
220,2019-06-11,2800.0,114200,322590000,2900.0,3000.0,2700.0
221,2019-06-10,3000.0,45600,132550000,3000.0,3000.0,2900.0
222,2019-06-07,3000.0,88806,257957600,3000.0,3000.0,2800.0
223,2019-06-06,2900.0,117000,337410000,3000.0,3000.0,2800.0
224,2019-06-05,3000.0,155000,461820000,3200.0,3200.0,2900.0
225,2019-06-04,3200.0,69300,222240000,3200.0,3300.0,3100.0
226,2019-06-03,3200.0,63300,198620000,3200.0,3300.0,3000.0
227,2019-05-31,3200.0,191570,574588500,3200.0,3200.0,2900.0
228,2019-05-30,3300.0,86026,274088400,3200.0,3400.0,3100.0
229,2019-05-29,3200.0,210140,704751000,3800.0,3800.0,3200.0
230,2019-05-28,3700.0,219950,807885000,3400.0,3900.0,3300.0
231,2019-05-27,3600.0,312300,1067970000,3200.0,3600.0,3200.0
232,2019-05-24,3500.0,193300,623900000,3300.0,3500.0,3000.0
233,2019-05-23,3200.0,457820,1434294000,2800.0,3200.0,2800.0
234,2019-05-22,2900.0,343898,964624800,2900.0,3100.0,2700.0
235,2019-05-21,3200.0,96705,300816500,3400.0,3400.0,3000.0
236,2019-05-20,3200.0,169197,532926400,2800.0,3200.0,2600.0
237,2019-05-17,3000.0,457696,1291459600,2700.0,3500.0,2700.0
238,2019-05-16,3100.0,43227,134157300,3300.0,3300.0,3100.0
239,2019-05-15,3300.0,325728,1162068300,4000.0,4100.0,3200.0
240,2019-05-14,3700.0,436610,1608987000,3600.0,3700.0,3500.0
241,2019-05-13,3300.0,485777,1602447700,3300.0,3300.0,3100.0
242,2019-05-10,2900.0,401300,1156900000,2900.0,2900.0,2700.0
243,2019-05-09,2600.0,140100,364260000,2600.0,2600.0,2600.0
244,2019-05-08,2500.0,231626,529031400,2000.0,2500.0,1900.0
245,2019-05-07,2000.0,259436,578226400,2400.0,2400.0,1900.0
246,2019-05-06,2100.0,70005,147010500,2100.0,2100.0,2100.0
247,2019-05-03,1900.0,64100,121790000,1900.0,1900.0,1900.0
248,2019-05-02,1700.0,45700,77690000,1700.0,1700.0,1700.0
249,2019-04-26,1600.0,74200,114820000,1500.0,1600.0,1500.0
250,2019-04-25,1400.0,6000,8500000,1500.0,1500.0,1400.0
251,2019-04-24,1400.0,19900,27860000,1400.0,1400.0,1400.0
252,2019-04-23,1400.0,27000,37800000,1400.0,1400.0,1400.0
253,2019-04-22,1400.0,0,0,1400.0,1400.0,1400.0
254,2019-04-19,1400.0,0,0,1400.0,1400.0,1400.0
255,2019-04-18,1400.0,4100,5740000,1400.0,1400.0,1400.0
256,2019-04-17,1300.0,300,390000,1300.0,1300.0,1300.0
257,2019-04-16,1300.0,6,7800,1300.0,1300.0,1300.0
258,2019-04-12,1300.0,0,0,1300.0,1300.0,1300.0
259,2019-04-11,1300.0,0,0,1300.0,1300.0,1300.0
260,2019-04-10,1300.0,100,130000,1300.0,1300.0,1300.0
261,2019-04-09,1300.0,0,0,1300.0,1300.0,1300.0
262,2019-04-08,1300.0,0,0,1300.0,1300.0,1300.0
263,2019-04-05,1300.0,6000,7950000,1400.0,1400.0,1300.0
264,2019-04-04,1200.0,2800,3900000,1500.0,1500.0,1200.0
265,2019-04-03,1400.0,8000,11200000,1400.0,1400.0,1400.0
266,2019-04-02,1300.0,4000,5200000,1300.0,1300.0,1300.0
